driver_id,constructor_id,race_id,race_name,season,qual_position,qual_time
max_verstappen,red_bull,16,Turkish Grand Prix,2021,3.0,0 days 00:01:23.196000
leclerc,ferrari,16,Turkish Grand Prix,2021,4.0,0 days 00:01:23.265000
gasly,alphatauri,16,Turkish Grand Prix,2021,5.0,0 days 00:01:23.326000
alonso,alpine,16,Turkish Grand Prix,2021,6.0,0 days 00:01:23.477000
perez,red_bull,16,Turkish Grand Prix,2021,7.0,0 days 00:01:23.706000
norris,mclaren,16,Turkish Grand Prix,2021,8.0,0 days 00:01:23.954000
stroll,aston_martin,16,Turkish Grand Prix,2021,9.0,0 days 00:01:24.305000
tsunoda,alphatauri,16,Turkish Grand Prix,2021,10.0,0 days 00:01:24.368000
ocon,alpine,16,Turkish Grand Prix,2021,12.0,0 days 00:01:24.842000
russell,williams,16,Turkish Grand Prix,2021,13.0,0 days 00:01:25.007000
sainz,ferrari,16,Turkish Grand Prix,2021,15.0,
ricciardo,mclaren,16,Turkish Grand Prix,2021,16.0,0 days 00:01:25.881000
max_verstappen,red_bull,17,United States Grand Prix,2021,1.0,0 days 00:01:32.910000
hamilton,mercedes,17,United States Grand Prix,2021,2.0,0 days 00:01:33.119000
perez,red_bull,17,United States Grand Prix,2021,3.0,0 days 00:01:33.134000
bottas,mercedes,17,United States Grand Prix,2021,4.0,0 days 00:01:33.475000
leclerc,ferrari,17,United States Grand Prix,2021,5.0,0 days 00:01:33.606000
sainz,ferrari,17,United States Grand Prix,2021,6.0,0 days 00:01:33.792000
ricciardo,mclaren,17,United States Grand Prix,2021,7.0,0 days 00:01:33.808000
norris,mclaren,17,United States Grand Prix,2021,8.0,0 days 00:01:33.887000
gasly,alphatauri,17,United States Grand Prix,2021,9.0,0 days 00:01:34.118000
tsunoda,alphatauri,17,United States Grand Prix,2021,10.0,0 days 00:01:34.918000
ocon,alpine,17,United States Grand Prix,2021,11.0,0 days 00:01:35.377000
alonso,alpine,17,United States Grand Prix,2021,14.0,0 days 00:01:44.549000
russell,williams,17,United States Grand Prix,2021,15.0,
stroll,aston_martin,17,United States Grand Prix,2021,16.0,0 days 00:01:35.983000
bottas,mercedes,18,Mexico City Grand Prix,2021,1.0,0 days 00:01:15.875000
hamilton,mercedes,18,Mexico City Grand Prix,2021,2.0,0 days 00:01:16.020000
max_verstappen,red_bull,18,Mexico City Grand Prix,2021,3.0,0 days 00:01:16.225000
perez,red_bull,18,Mexico City Grand Prix,2021,4.0,0 days 00:01:16.342000
gasly,alphatauri,18,Mexico City Grand Prix,2021,5.0,0 days 00:01:16.456000
sainz,ferrari,18,Mexico City Grand Prix,2021,6.0,0 days 00:01:16.761000
ricciardo,mclaren,18,Mexico City Grand Prix,2021,7.0,0 days 00:01:16.763000
leclerc,ferrari,18,Mexico City Grand Prix,2021,8.0,0 days 00:01:16.837000
tsunoda,alphatauri,18,Mexico City Grand Prix,2021,9.0,0 days 00:01:17.158000
norris,mclaren,18,Mexico City Grand Prix,2021,10.0,0 days 00:01:36.830000
russell,williams,18,Mexico City Grand Prix,2021,13.0,0 days 00:01:18.172000
ocon,alpine,18,Mexico City Grand Prix,2021,15.0,0 days 00:01:18.405000
alonso,alpine,18,Mexico City Grand Prix,2021,16.0,0 days 00:01:18.452000
stroll,aston_martin,18,Mexico City Grand Prix,2021,20.0,0 days 00:01:20.873000
hamilton,mercedes,19,São Paulo Grand Prix,2021,1.0,0 days 00:01:07.934000
max_verstappen,red_bull,19,São Paulo Grand Prix,2021,2.0,0 days 00:01:08.372000
bottas,mercedes,19,São Paulo Grand Prix,2021,3.0,0 days 00:01:08.469000
perez,red_bull,19,São Paulo Grand Prix,2021,4.0,0 days 00:01:08.483000
gasly,alphatauri,19,São Paulo Grand Prix,2021,5.0,0 days 00:01:08.777000
sainz,ferrari,19,São Paulo Grand Prix,2021,6.0,0 days 00:01:08.826000
leclerc,ferrari,19,São Paulo Grand Prix,2021,7.0,0 days 00:01:08.960000
norris,mclaren,19,São Paulo Grand Prix,2021,8.0,0 days 00:01:08.980000
ricciardo,mclaren,19,São Paulo Grand Prix,2021,9.0,0 days 00:01:09.039000
alonso,alpine,19,São Paulo Grand Prix,2021,10.0,0 days 00:01:09.113000
ocon,alpine,19,São Paulo Grand Prix,2021,11.0,0 days 00:01:09.189000
tsunoda,alphatauri,19,São Paulo Grand Prix,2021,13.0,0 days 00:01:09.483000
stroll,aston_martin,19,São Paulo Grand Prix,2021,16.0,0 days 00:01:09.663000
russell,williams,19,São Paulo Grand Prix,2021,18.0,0 days 00:01:09.953000
hamilton,mercedes,20,Qatar Grand Prix,2021,1.0,0 days 00:01:20.827000
max_verstappen,red_bull,20,Qatar Grand Prix,2021,2.0,0 days 00:01:21.282000
bottas,mercedes,20,Qatar Grand Prix,2021,3.0,0 days 00:01:21.478000
gasly,alphatauri,20,Qatar Grand Prix,2021,4.0,0 days 00:01:21.640000
alonso,alpine,20,Qatar Grand Prix,2021,5.0,0 days 00:01:21.670000
norris,mclaren,20,Qatar Grand Prix,2021,6.0,0 days 00:01:21.731000
sainz,ferrari,20,Qatar Grand Prix,2021,7.0,0 days 00:01:21.840000
tsunoda,alphatauri,20,Qatar Grand Prix,2021,8.0,0 days 00:01:21.881000
ocon,alpine,20,Qatar Grand Prix,2021,9.0,0 days 00:01:22.028000
perez,red_bull,20,Qatar Grand Prix,2021,11.0,0 days 00:01:22.346000
stroll,aston_martin,20,Qatar Grand Prix,2021,12.0,0 days 00:01:22.460000
leclerc,ferrari,20,Qatar Grand Prix,2021,13.0,0 days 00:01:22.463000
ricciardo,mclaren,20,Qatar Grand Prix,2021,14.0,0 days 00:01:22.597000
russell,williams,20,Qatar Grand Prix,2021,15.0,0 days 00:01:22.756000
hamilton,mercedes,21,Saudi Arabian Grand Prix,2021,1.0,0 days 00:01:27.511000
bottas,mercedes,21,Saudi Arabian Grand Prix,2021,2.0,0 days 00:01:27.622000
max_verstappen,red_bull,21,Saudi Arabian Grand Prix,2021,3.0,0 days 00:01:27.653000
leclerc,ferrari,21,Saudi Arabian Grand Prix,2021,4.0,0 days 00:01:28.054000
perez,red_bull,21,Saudi Arabian Grand Prix,2021,5.0,0 days 00:01:28.123000
gasly,alphatauri,21,Saudi Arabian Grand Prix,2021,6.0,0 days 00:01:28.125000
norris,mclaren,21,Saudi Arabian Grand Prix,2021,7.0,0 days 00:01:28.180000
tsunoda,alphatauri,21,Saudi Arabian Grand Prix,2021,8.0,0 days 00:01:28.442000
ocon,alpine,21,Saudi Arabian Grand Prix,2021,9.0,0 days 00:01:28.647000
ricciardo,mclaren,21,Saudi Arabian Grand Prix,2021,11.0,0 days 00:01:28.668000
alonso,alpine,21,Saudi Arabian Grand Prix,2021,13.0,0 days 00:01:28.920000
russell,williams,21,Saudi Arabian Grand Prix,2021,14.0,0 days 00:01:29.054000
sainz,ferrari,21,Saudi Arabian Grand Prix,2021,15.0,0 days 00:01:53.652000
stroll,aston_martin,21,Saudi Arabian Grand Prix,2021,18.0,0 days 00:01:29.368000
max_verstappen,red_bull,22,Abu Dhabi Grand Prix,2021,1.0,0 days 00:01:22.109000
hamilton,mercedes,22,Abu Dhabi Grand Prix,2021,2.0,0 days 00:01:22.480000
norris,mclaren,22,Abu Dhabi Grand Prix,2021,3.0,0 days 00:01:22.931000
perez,red_bull,22,Abu Dhabi Grand Prix,2021,4.0,0 days 00:01:22.947000
sainz,ferrari,22,Abu Dhabi Grand Prix,2021,5.0,0 days 00:01:22.992000
bottas,mercedes,22,Abu Dhabi Grand Prix,2021,6.0,0 days 00:01:23.036000
leclerc,ferrari,22,Abu Dhabi Grand Prix,2021,7.0,0 days 00:01:23.122000
tsunoda,alphatauri,22,Abu Dhabi Grand Prix,2021,8.0,0 days 00:01:23.220000
ocon,alpine,22,Abu Dhabi Grand Prix,2021,9.0,0 days 00:01:23.389000
ricciardo,mclaren,22,Abu Dhabi Grand Prix,2021,10.0,0 days 00:01:23.409000
alonso,alpine,22,Abu Dhabi Grand Prix,2021,11.0,0 days 00:01:23.460000
gasly,alphatauri,22,Abu Dhabi Grand Prix,2021,12.0,0 days 00:01:24.043000
stroll,aston_martin,22,Abu Dhabi Grand Prix,2021,13.0,0 days 00:01:24.066000
russell,williams,22,Abu Dhabi Grand Prix,2021,17.0,0 days 00:01:24.423000
