driver_id,constructor_id,race_id,race_name,season,fp1_best_time,fp2_best_time,fp3_best_time,fp1_avg_time,fp2_avg_time,fp3_avg_time,rain_fp1,avg_airtemp_fp1,avg_tracktemp_fp1,high_windspeed_fp1,avg_windspeed_fp1,rain_fp2,avg_airtemp_fp2,avg_tracktemp_fp2,high_windspeed_fp2,avg_windspeed_fp2,rain_fp3,avg_airtemp_fp3,avg_tracktemp_fp3,high_windspeed_fp3,avg_windspeed_fp3,rain_quali,avg_airtemp_quali,avg_tracktemp_quali,high_windspeed_quali,avg_windspeed_quali,rain_race,avg_airtemp_race,avg_tracktemp_race,high_windspeed_race,avg_windspeed_race,qual_position,qual_time,sect1,sect2,sect3,speed1,speed2,speedfl,race_startposition,race_endposition,race_overtakes_made,fastest_lap,dnf,dotd
ocon,alpine,1,Bahrain Grand Prix,2021,0 days 00:01:33.528000,0 days 00:01:31.601000,0 days 00:01:32.423000,0 days 00:01:33.745000,0 days 00:01:32.700333333,0 days 00:01:33.626500,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,16.0,0 days 00:01:31.724000,0 days 00:00:28.999000,0 days 00:00:39.813000,0 days 00:00:22.912000,243.0,268.0,284.0,16,13,12,0,0,0
russell,williams,1,Bahrain Grand Prix,2021,0 days 00:01:34.127000,0 days 00:01:32.331000,0 days 00:01:33.323000,0 days 00:01:34.831333333,0 days 00:01:32.824333333,0 days 00:01:34.353000,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,15.0,0 days 00:01:33.430000,0 days 00:00:28.861000,0 days 00:00:39.291000,0 days 00:00:23.164000,245.0,272.0,293.0,15,14,13,0,0,0
gasly,alphatauri,1,Bahrain Grand Prix,2021,0 days 00:01:32.195000,0 days 00:01:31.483000,0 days 00:01:31.583000,0 days 00:01:33.117500,0 days 00:01:32.009750,0 days 00:01:32.178750,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,5.0,0 days 00:01:29.809000,0 days 00:00:28.585000,0 days 00:00:38.658000,0 days 00:00:22.566000,247.0,273.0,290.0,5,17,5,0,1,0
alonso,alpine,1,Bahrain Grand Prix,2021,0 days 00:01:33.872000,0 days 00:01:31.770000,0 days 00:01:32.820000,0 days 00:01:34.737333333,0 days 00:01:32.594333333,0 days 00:01:33.632666666,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,9.0,0 days 00:01:30.249000,0 days 00:00:28.747000,0 days 00:00:38.806000,0 days 00:00:22.696000,244.0,268.0,288.0,9,19,8,0,1,0
max_verstappen,red_bull,2,Emilia Romagna Grand Prix,2021,0 days 00:01:16.622000,0 days 00:01:16.999000,0 days 00:01:14.958000,0 days 00:01:18.037166666,0 days 00:01:18.403666666,0 days 00:01:15.701333333,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,3.0,0 days 00:01:14.498000,0 days 00:00:23.798000,0 days 00:00:25.617000,0 days 00:00:25.083000,235.0,260.0,286.0,3,1,1,0,0,0
hamilton,mercedes,2,Emilia Romagna Grand Prix,2021,0 days 00:01:16.605000,0 days 00:01:15.561000,0 days 00:01:15.515000,0 days 00:01:17.446800,0 days 00:01:16.573333333,0 days 00:01:16.394250,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,1.0,0 days 00:01:14.411000,0 days 00:00:23.633000,0 days 00:00:25.805000,0 days 00:00:24.973000,235.0,261.0,287.0,1,2,9,1,0,0
norris,mclaren,2,Emilia Romagna Grand Prix,2021,0 days 00:01:17.935000,0 days 00:01:16.485000,0 days 00:01:15.414000,0 days 00:01:18.963333333,0 days 00:01:17.020250,0 days 00:01:16.375800,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,7.0,0 days 00:01:14.875000,0 days 00:00:23.671000,0 days 00:00:25.746000,0 days 00:00:25.301000,234.0,264.0,286.0,7,3,8,0,0,1
leclerc,ferrari,2,Emilia Romagna Grand Prix,2021,0 days 00:01:16.796000,0 days 00:01:15.367000,0 days 00:01:15.738000,0 days 00:01:17.227666666,0 days 00:01:17.894666666,0 days 00:01:16.406000,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,4.0,0 days 00:01:14.740000,0 days 00:00:23.853000,0 days 00:00:25.690000,0 days 00:00:25.197000,236.0,259.0,281.0,4,4,3,0,0,0
sainz,ferrari,2,Emilia Romagna Grand Prix,2021,0 days 00:01:16.888000,0 days 00:01:15.834000,0 days 00:01:15.908000,0 days 00:01:17.955777777,0 days 00:01:16.783666666,0 days 00:01:16.551400,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,11.0,0 days 00:01:15.199000,0 days 00:00:23.910000,0 days 00:00:26.085000,0 days 00:00:25.204000,232.0,257.0,284.0,11,5,7,0,0,0
ricciardo,mclaren,2,Emilia Romagna Grand Prix,2021,0 days 00:01:17.769000,0 days 00:01:16.782000,0 days 00:01:16.253000,0 days 00:01:18.622833333,0 days 00:01:17.647000,0 days 00:01:16.863000,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,6.0,0 days 00:01:14.826000,0 days 00:00:23.739000,0 days 00:00:25.856000,0 days 00:00:25.231000,236.0,261.0,284.0,6,6,4,0,0,0
gasly,alphatauri,2,Emilia Romagna Grand Prix,2021,0 days 00:01:16.888000,0 days 00:01:15.629000,0 days 00:01:15.890000,0 days 00:01:17.786285714,0 days 00:01:17.181000,0 days 00:01:16.708571428,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,5.0,0 days 00:01:14.790000,0 days 00:00:23.806000,0 days 00:00:25.853000,0 days 00:00:25.131000,231.0,261.0,286.0,5,7,8,0,0,0
stroll,aston_martin,2,Emilia Romagna Grand Prix,2021,0 days 00:01:17.489000,0 days 00:01:16.737000,0 days 00:01:16.245000,0 days 00:01:18.931000,0 days 00:01:17.532750,0 days 00:01:16.819000,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,10.0,0,0 days 00:00:23.982000,0 days 00:00:25.967000,0 days 00:00:25.189000,232.0,261.0,286.0,10,8,5,0,0,0
ocon,alpine,2,Emilia Romagna Grand Prix,2021,0 days 00:01:18.360000,0 days 00:01:16.817000,0 days 00:01:16.228000,0 days 00:01:18.945444444,0 days 00:01:17.370600,0 days 00:01:17.102166666,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,9.0,0 days 00:01:15.210000,0 days 00:00:23.975000,0 days 00:00:25.920000,0 days 00:00:25.222000,234.0,260.0,285.0,9,9,13,0,0,0
alonso,alpine,2,Emilia Romagna Grand Prix,2021,0 days 00:01:17.457000,0 days 00:01:16.835000,0 days 00:01:16.186000,0 days 00:01:18.859857142,0 days 00:01:17.443400,0 days 00:01:17.021285714,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,15.0,0 days 00:01:15.593000,0 days 00:00:24.072000,0 days 00:00:26.120000,0 days 00:00:25.401000,233.0,259.0,285.0,15,10,10,0,0,0
perez,red_bull,2,Emilia Romagna Grand Prix,2021,0 days 00:01:18.228000,0 days 00:01:16.411000,0 days 00:01:15.551000,0 days 00:01:19.011500,0 days 00:01:17.010600,0 days 00:01:16.562400,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,2.0,0 days 00:01:14.446000,0 days 00:00:23.630000,0 days 00:00:25.668000,0 days 00:00:25.148000,235.0,260.0,286.0,2,11,4,0,0,0
tsunoda,alphatauri,2,Emilia Romagna Grand Prix,2021,0 days 00:01:19.781000,0 days 00:01:16.419000,0 days 00:01:16.230000,0 days 00:01:20.043500,0 days 00:01:17.347833333,0 days 00:01:16.696000,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,20.0,0,0,0,0,0.0,0.0,0.0,20,12,8,0,0,0
bottas,mercedes,2,Emilia Romagna Grand Prix,2021,0 days 00:01:16.564000,0 days 00:01:15.551000,0 days 00:01:15.908000,0 days 00:01:18.087571428,0 days 00:01:16.665000,0 days 00:01:16.065500,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,8.0,0 days 00:01:14.898000,0 days 00:00:23.917000,0 days 00:00:25.747000,0 days 00:00:25.008000,232.0,261.0,285.0,8,18,4,0,1,0
russell,williams,2,Emilia Romagna Grand Prix,2021,0 days 00:01:17.866000,0 days 00:01:17.179000,0 days 00:01:16.427000,0 days 00:01:18.995600,0 days 00:01:17.659200,0 days 00:01:16.848666666,1,11.9125,22.7875,1.1,0.6375000000000001,0,13.6,24.4875,1.4,1.1,0,11.533333333333337,21.56666666666667,0.7,0.4333333333333333,0,13.633333333333333,26.744444444444447,0.6,0.3222222222222222,1,10.652941176470588,16.929411764705886,1.1,0.4235294117647059,12.0,0 days 00:01:15.261000,0 days 00:00:23.937000,0 days 00:00:25.914000,0 days 00:00:25.410000,234.0,264.0,290.0,12,19,3,0,1,0
hamilton,mercedes,3,Portuguese Grand Prix,2021,0 days 00:01:19.967000,0 days 00:01:19.837000,0 days 00:01:18.725000,0 days 00:01:22.266538461,0 days 00:01:22.245400,0 days 00:01:18.793750,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,2.0,0 days 00:01:18.355000,0 days 00:00:22.613000,0 days 00:00:29.798000,0 days 00:00:25.557000,287.0,194.0,298.0,2,1,3,0,0,0
max_verstappen,red_bull,3,Portuguese Grand Prix,2021,0 days 00:01:19.673000,0 days 00:01:19.980000,0 days 00:01:18.489000,0 days 00:01:21.091142857,0 days 00:01:21.970166666,0 days 00:01:18.851333333,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,3.0,0 days 00:01:18.746000,0 days 00:00:22.705000,0 days 00:00:30.095000,0 days 00:00:25.850000,289.0,193.0,293.0,3,2,3,0,0,0
bottas,mercedes,3,Portuguese Grand Prix,2021,0 days 00:01:19.648000,0 days 00:01:20.181000,0 days 00:01:18.820000,0 days 00:01:21.871785714,0 days 00:01:22.317538461,0 days 00:01:19.201750,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,1.0,0 days 00:01:18.348000,0 days 00:00:22.519000,0 days 00:00:29.819000,0 days 00:00:26.010000,287.0,194.0,296.0,1,3,1,1,0,0
perez,red_bull,3,Portuguese Grand Prix,2021,0 days 00:01:19.846000,0 days 00:01:20.516000,0 days 00:01:18.840000,0 days 00:01:21.022600,0 days 00:01:22.175538461,0 days 00:01:19.676142857,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,4.0,0 days 00:01:18.890000,0 days 00:00:23.003000,0 days 00:00:30.175000,0 days 00:00:25.667000,287.0,195.0,293.0,4,4,4,0,0,1
norris,mclaren,3,Portuguese Grand Prix,2021,0 days 00:01:20.635000,0 days 00:01:20.757000,0 days 00:01:19.272000,0 days 00:01:22.055750,0 days 00:01:21.278500,0 days 00:01:19.899000,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,7.0,0 days 00:01:19.116000,0 days 00:00:22.662000,0 days 00:00:29.965000,0 days 00:00:25.854000,289.0,196.0,292.0,7,5,6,0,0,0
leclerc,ferrari,3,Portuguese Grand Prix,2021,0 days 00:01:19.884000,0 days 00:01:20.360000,0 days 00:01:19.001000,0 days 00:01:21.454111111,0 days 00:01:21.980142857,0 days 00:01:19.462400,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,8.0,0 days 00:01:19.306000,0 days 00:00:22.733000,0 days 00:00:30.125000,0 days 00:00:25.911000,286.0,198.0,290.0,8,6,7,0,0,0
ocon,alpine,3,Portuguese Grand Prix,2021,0 days 00:01:20.800000,0 days 00:01:20.235000,0 days 00:01:18.860000,0 days 00:01:21.910909090,0 days 00:01:21.174500,0 days 00:01:19.703166666,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,6.0,0 days 00:01:19.042000,0 days 00:00:22.735000,0 days 00:00:30.228000,0 days 00:00:25.623000,287.0,196.0,297.0,6,7,7,0,0,0
alonso,alpine,3,Portuguese Grand Prix,2021,0 days 00:01:21.303000,0 days 00:01:20.220000,0 days 00:01:18.735000,0 days 00:01:22.271000,0 days 00:01:21.752625,0 days 00:01:19.810600,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,13.0,0 days 00:01:19.456000,0 days 00:00:23.002000,0 days 00:00:30.455000,0 days 00:00:25.999000,287.0,197.0,295.0,13,8,9,0,0,0
ricciardo,mclaren,3,Portuguese Grand Prix,2021,0 days 00:01:20.995000,0 days 00:01:20.418000,0 days 00:01:19.582000,0 days 00:01:22.073142857,0 days 00:01:22.237111111,0 days 00:01:20.136500,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,16.0,0 days 00:01:19.839000,0 days 00:00:22.911000,0 days 00:00:30.706000,0 days 00:00:26.222000,290.0,194.0,290.0,16,9,9,0,0,0
gasly,alphatauri,3,Portuguese Grand Prix,2021,0 days 00:01:20.444000,0 days 00:01:20.558000,0 days 00:01:19.374000,0 days 00:01:21.710100,0 days 00:01:21.635500,0 days 00:01:20.398333333,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,9.0,0 days 00:01:19.475000,0 days 00:00:22.845000,0 days 00:00:30.186000,0 days 00:00:26.021000,289.0,194.0,290.0,9,10,7,0,0,0
sainz,ferrari,3,Portuguese Grand Prix,2021,0 days 00:01:20.680000,0 days 00:01:20.197000,0 days 00:01:19.050000,0 days 00:01:21.891636363,0 days 00:01:22.162100,0 days 00:01:19.593375,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,5.0,0 days 00:01:19.039000,0 days 00:00:22.768000,0 days 00:00:30.186000,0 days 00:00:25.859000,286.0,192.0,287.0,5,11,6,0,0,0
stroll,aston_martin,3,Portuguese Grand Prix,2021,0 days 00:01:20.894000,0 days 00:01:20.427000,0 days 00:01:20.007000,0 days 00:01:22.572625,0 days 00:01:21.466250,0 days 00:01:20.271000,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,17.0,0 days 00:01:19.913000,0 days 00:00:23.169000,0 days 00:00:30.556000,0 days 00:00:26.188000,289.0,183.0,288.0,17,14,8,0,0,0
tsunoda,alphatauri,3,Portuguese Grand Prix,2021,0 days 00:01:21.090000,0 days 00:01:21.053000,0 days 00:01:19.485000,0 days 00:01:22.652111111,0 days 00:01:21.677333333,0 days 00:01:20.305571428,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,14.0,0 days 00:01:19.463000,0 days 00:00:22.909000,0 days 00:00:30.595000,0 days 00:00:25.959000,290.0,190.0,290.0,14,15,6,0,0,0
russell,williams,3,Portuguese Grand Prix,2021,0 days 00:01:20.529000,0 days 00:01:20.976000,0 days 00:01:20.127000,0 days 00:01:22.350888888,0 days 00:01:21.732800,0 days 00:01:20.425333333,1,17.744444444444444,33.21111111111111,1.2,0.6444444444444444,0,18.93,38.86,1.2,0.8299999999999998,0,17.0625,30.5875,1.4,0.6625,0,18.1625,37.275,1.0,0.7749999999999999,0,19.3,38.82142857142858,1.3,0.8285714285714286,11.0,0 days 00:01:19.109000,0 days 00:00:22.757000,0 days 00:00:30.396000,0 days 00:00:25.956000,289.0,196.0,294.0,11,16,6,0,0,0
