driver_id,constructor_id,race_id,race_name,season,fp1_best_time,fp2_best_time,fp3_best_time,fp1_avg_time,fp2_avg_time,fp3_avg_time
stroll,aston_martin,21,Las Vegas Grand Prix,2023,0,0 days 00:01:36.496000,0 days 00:01:35.253000,0,0 days 00:01:38.267750,0 days 00:01:36.819142857
sainz,ferrari,21,Las Vegas Grand Prix,2023,0 days 00:01:45.824000,0 days 00:01:35.782000,0 days 00:01:35.939000,0 days 00:01:45.824000,0 days 00:01:37.813166666,0 days 00:01:37.455166666
hamilton,mercedes,21,Las Vegas Grand Prix,2023,0,0 days 00:01:36.663000,0 days 00:01:34.853000,0,0 days 00:01:38.036428571,0 days 00:01:35.470000
russell,mercedes,21,Las Vegas Grand Prix,2023,0 days 00:01:45.497000,0 days 00:01:36.890000,0 days 00:01:34.093000,0 days 00:01:45.497000,0 days 00:01:38.438285714,0 days 00:01:34.594666666
alonso,aston_martin,21,Las Vegas Grand Prix,2023,0,0 days 00:01:35.793000,0 days 00:01:34.788000,0,0 days 00:01:37.917142857,0 days 00:01:35.945200
piastri,mclaren,21,Las Vegas Grand Prix,2023,0,0 days 00:01:36.987000,0 days 00:01:34.491000,0,0 days 00:01:38.258750,0 days 00:01:37.276250
gasly,alpine,21,Las Vegas Grand Prix,2023,0,0 days 00:01:37.134000,0 days 00:01:36.485000,0,0 days 00:01:38.124250,0 days 00:01:37.268333333
albon,williams,21,Las Vegas Grand Prix,2023,0,0 days 00:01:36.688000,0 days 00:01:34.726000,0,0 days 00:01:38.100750,0 days 00:01:35.565000
kevin_magnussen,haas,21,Las Vegas Grand Prix,2023,0 days 00:01:44.261000,0 days 00:01:36.917000,0 days 00:01:35.067000,0 days 00:01:44.261000,0 days 00:01:38.345166666,0 days 00:01:36.485800
ricciardo,alphatauri,21,Las Vegas Grand Prix,2023,0,0 days 00:01:37.680000,0 days 00:01:37.778000,0,0 days 00:01:38.861714285,0 days 00:01:38.246500
zhou,alfa,21,Las Vegas Grand Prix,2023,0,0 days 00:01:37.656000,0 days 00:01:35.881000,0,0 days 00:01:38.472666666,0 days 00:01:36.419250
sargeant,williams,21,Las Vegas Grand Prix,2023,0,0 days 00:01:38.140000,0 days 00:01:34.645000,0,0 days 00:01:38.767600,0 days 00:01:35.491200
bottas,alfa,21,Las Vegas Grand Prix,2023,0,0 days 00:01:36.129000,0 days 00:01:34.908000,0,0 days 00:01:38.510428571,0 days 00:01:36.264000
tsunoda,alphatauri,21,Las Vegas Grand Prix,2023,0 days 00:01:45.908000,0 days 00:01:37.412000,0 days 00:01:36.087000,0 days 00:01:45.908000,0 days 00:01:38.577428571,0 days 00:01:36.532800
hulkenberg,haas,21,Las Vegas Grand Prix,2023,0 days 00:01:43.446000,0 days 00:01:36.489000,0 days 00:01:35.112000,0 days 00:01:43.446000,0 days 00:01:38.200250,0 days 00:01:37.193000
norris,mclaren,21,Las Vegas Grand Prix,2023,0,0 days 00:01:36.864000,0 days 00:01:35.089000,0,0 days 00:01:38.280750,0 days 00:01:37.533666666
max_verstappen,red_bull,22,Abu Dhabi Grand Prix,2023,0,0 days 00:01:24.982000,0 days 00:01:25.153000,0,0 days 00:01:25.760000,0 days 00:01:26.195500
leclerc,ferrari,22,Abu Dhabi Grand Prix,2023,0,0 days 00:01:24.809000,0 days 00:01:25.099000,0,0 days 00:01:27.540142857,0 days 00:01:25.806500
russell,mercedes,22,Abu Dhabi Grand Prix,2023,0 days 00:01:26.072000,0 days 00:01:25.122000,0 days 00:01:24.418000,0 days 00:01:26.620400,0 days 00:01:27.538714285,0 days 00:01:24.803333333
perez,red_bull,22,Abu Dhabi Grand Prix,2023,0,0 days 00:01:25.112000,0 days 00:01:25.259000,0,0 days 00:01:26.312500,0 days 00:01:25.409500
norris,mclaren,22,Abu Dhabi Grand Prix,2023,0,0 days 00:01:24.852000,0 days 00:01:24.513000,0,0 days 00:01:27.100833333,0 days 00:01:25.249000
piastri,mclaren,22,Abu Dhabi Grand Prix,2023,0 days 00:01:26.665000,0 days 00:01:25.361000,0 days 00:01:24.810000,0 days 00:01:28.361777777,0 days 00:01:27.573555555,0 days 00:01:25.197000
alonso,aston_martin,22,Abu Dhabi Grand Prix,2023,0,0 days 00:01:25.397000,0 days 00:01:25.343000,0,0 days 00:01:26.700500,0 days 00:01:26.024750
tsunoda,alphatauri,22,Abu Dhabi Grand Prix,2023,0 days 00:01:26.725000,0 days 00:01:25.669000,0 days 00:01:25.222000,0 days 00:01:27.581333333,0 days 00:01:27.677000,0 days 00:01:25.590000
hamilton,mercedes,22,Abu Dhabi Grand Prix,2023,0,0 days 00:01:25.315000,0 days 00:01:25.292000,0,0 days 00:01:26.476000,0 days 00:01:25.941000
stroll,aston_martin,22,Abu Dhabi Grand Prix,2023,0 days 00:01:26.631000,0 days 00:01:25.492000,0 days 00:01:25.405000,0 days 00:01:27.607200,0 days 00:01:27.267000,0 days 00:01:25.821250
ricciardo,alphatauri,22,Abu Dhabi Grand Prix,2023,0 days 00:01:26.433000,0 days 00:01:25.467000,0 days 00:01:25.597000,0 days 00:01:27.503750,0 days 00:01:27.345571428,0 days 00:01:25.860000
ocon,alpine,22,Abu Dhabi Grand Prix,2023,0,0 days 00:01:25.566000,0 days 00:01:25.194000,0,0 days 00:01:26.415800,0 days 00:01:25.789800
gasly,alpine,22,Abu Dhabi Grand Prix,2023,0 days 00:01:26.720000,0 days 00:01:25.321000,0 days 00:01:25.303000,0 days 00:01:27.473600,0 days 00:01:26.394000,0 days 00:01:25.843000
albon,williams,22,Abu Dhabi Grand Prix,2023,0,0 days 00:01:26.081000,0 days 00:01:24.929000,0,0 days 00:01:27.752555555,0 days 00:01:25.450250
hulkenberg,haas,22,Abu Dhabi Grand Prix,2023,0,0 days 00:01:27.147000,0 days 00:01:25.584000,0,0 days 00:01:27.147000,0 days 00:01:26.511800
sargeant,williams,22,Abu Dhabi Grand Prix,2023,0 days 00:01:26.742000,0 days 00:01:26.659000,0 days 00:01:25.205000,0 days 00:01:27.569500,0 days 00:01:26.659000,0 days 00:01:25.651500
zhou,alfa,22,Abu Dhabi Grand Prix,2023,0,0 days 00:01:25.223000,0 days 00:01:25.258000,0,0 days 00:01:26.010200,0 days 00:01:25.918600
sainz,ferrari,22,Abu Dhabi Grand Prix,2023,0 days 00:01:26.676000,0 days 00:01:26.707000,0 days 00:01:25.713000,0 days 00:01:28.224571428,0 days 00:01:26.707000,0 days 00:01:26.204800
bottas,alfa,22,Abu Dhabi Grand Prix,2023,0 days 00:01:26.453000,0 days 00:01:25.024000,0 days 00:01:25.420000,0 days 00:01:27.258714285,0 days 00:01:26.260333333,0 days 00:01:25.926000
kevin_magnussen,haas,22,Abu Dhabi Grand Prix,2023,0 days 00:01:27.462000,0 days 00:01:26.413000,0 days 00:01:25.652000,0 days 00:01:28.288666666,0 days 00:01:26.413000,0 days 00:01:26.362600
max_verstappen,red_bull,1,Bahrain Grand Prix,2024,0 days 00:01:33.238000,0 days 00:01:30.851000,0 days 00:01:31.062000,0 days 00:01:33.557666666,0 days 00:01:31.094333333,0 days 00:01:32.142250
perez,red_bull,1,Bahrain Grand Prix,2024,0 days 00:01:33.413000,0 days 00:01:31.115000,0 days 00:01:31.248000,0 days 00:01:33.972400,0 days 00:01:31.380000,0 days 00:01:32.328000
sainz,ferrari,1,Bahrain Grand Prix,2024,0 days 00:01:33.385000,0 days 00:01:30.769000,0 days 00:01:30.824000,0 days 00:01:35.274500,0 days 00:01:31.356000,0 days 00:01:32.450166666
leclerc,ferrari,1,Bahrain Grand Prix,2024,0 days 00:01:33.268000,0 days 00:01:31.113000,0 days 00:01:31.094000,0 days 00:01:35.093166666,0 days 00:01:31.287333333,0 days 00:01:32.518666666
russell,mercedes,1,Bahrain Grand Prix,2024,0 days 00:01:33.251000,0 days 00:01:30.580000,0 days 00:01:31.190000,0 days 00:01:33.733000,0 days 00:01:31.200500,0 days 00:01:31.947333333
norris,mclaren,1,Bahrain Grand Prix,2024,0 days 00:01:32.901000,0 days 00:01:32.608000,0 days 00:01:31.118000,0 days 00:01:36.062222222,0 days 00:01:32.754000,0 days 00:01:32.163333333
hamilton,mercedes,1,Bahrain Grand Prix,2024,0 days 00:01:33.302000,0 days 00:01:30.374000,0 days 00:01:31.452000,0 days 00:01:33.952333333,0 days 00:01:30.843000,0 days 00:01:32.053333333
piastri,mclaren,1,Bahrain Grand Prix,2024,0 days 00:01:33.113000,0 days 00:01:30.784000,0 days 00:01:31.210000,0 days 00:01:34.982750,0 days 00:01:32.357666666,0 days 00:01:32.601666666
alonso,aston_martin,1,Bahrain Grand Prix,2024,0 days 00:01:33.193000,0 days 00:01:30.660000,0 days 00:01:30.965000,0 days 00:01:33.897500,0 days 00:01:31.209666666,0 days 00:01:32.433600
stroll,aston_martin,1,Bahrain Grand Prix,2024,0 days 00:01:33.868000,0 days 00:01:30.891000,0 days 00:01:31.396000,0 days 00:01:34.804571428,0 days 00:01:31.688500,0 days 00:01:32.182600
zhou,sauber,1,Bahrain Grand Prix,2024,0 days 00:01:33.923000,0 days 00:01:32.048000,0 days 00:01:32,0 days 00:01:34.959000,0 days 00:01:32.858250,0 days 00:01:32.757500
kevin_magnussen,haas,1,Bahrain Grand Prix,2024,0 days 00:01:37.477000,0 days 00:01:31.764000,0 days 00:01:31.671000,0 days 00:01:37.477000,0 days 00:01:32.109250,0 days 00:01:32.429666666
ricciardo,rb,1,Bahrain Grand Prix,2024,0 days 00:01:32.869000,0 days 00:01:31.516000,0 days 00:01:31.449000,0 days 00:01:34.658200,0 days 00:01:32.317750,0 days 00:01:32.110500
tsunoda,rb,1,Bahrain Grand Prix,2024,0 days 00:01:33.183000,0 days 00:01:31.881000,0 days 00:01:31.631000,0 days 00:01:34.412400,0 days 00:01:32.886400,0 days 00:01:32.350500
albon,williams,1,Bahrain Grand Prix,2024,0 days 00:01:33.583000,0 days 00:01:31.333000,0 days 00:01:31.965000,0 days 00:01:34.631166666,0 days 00:01:31.845250,0 days 00:01:32.199000
hulkenberg,haas,1,Bahrain Grand Prix,2024,0,0 days 00:01:30.884000,0 days 00:01:31.278000,0,0 days 00:01:31.699000,0 days 00:01:32.443666666
ocon,alpine,1,Bahrain Grand Prix,2024,0 days 00:01:34.807000,0 days 00:01:32.027000,0 days 00:01:32.124000,0 days 00:01:35.263400,0 days 00:01:32.663000,0 days 00:01:32.713000
gasly,alpine,1,Bahrain Grand Prix,2024,0 days 00:01:35.144000,0 days 00:01:31.951000,0 days 00:01:32.382000,0 days 00:01:35.739166666,0 days 00:01:32.304250,0 days 00:01:33.026500
bottas,sauber,1,Bahrain Grand Prix,2024,0 days 00:01:33.354000,0 days 00:01:32.001000,0 days 00:01:32.096000,0 days 00:01:34.355571428,0 days 00:01:32.424500,0 days 00:01:32.730750
sargeant,williams,1,Bahrain Grand Prix,2024,0 days 00:01:34.213000,0 days 00:01:31.715000,0 days 00:01:32.125000,0 days 00:01:35.906111111,0 days 00:01:32.194200,0 days 00:01:32.732000
