driver_id,constructor_id,race_id,race_name,season,qual_position,qual_time,sect1,sect2,sect3,speed1,speed2,speedfl
bottas,mercedes,5,Monaco Grand Prix,2021,3.0,0 days 00:01:10.601000,0 days 00:00:18.599000,0 days 00:00:33.041000,0 days 00:00:18.961000,225.0,210.0,271.0
sainz,ferrari,5,Monaco Grand Prix,2021,4.0,0 days 00:01:10.611000,0 days 00:00:18.443000,0 days 00:00:33.084000,0 days 00:00:19.084000,222.0,208.0,268.0
norris,mclaren,5,Monaco Grand Prix,2021,5.0,0 days 00:01:10.620000,0 days 00:00:18.633000,0 days 00:00:33.219000,0 days 00:00:18.768000,224.0,210.0,273.0
gasly,alphatauri,5,Monaco Grand Prix,2021,6.0,0 days 00:01:10.900000,0 days 00:00:18.744000,0 days 00:00:33.171000,0 days 00:00:18.985000,223.0,204.0,269.0
hamilton,mercedes,5,Monaco Grand Prix,2021,7.0,0 days 00:01:11.095000,0 days 00:00:18.689000,0 days 00:00:33.263000,0 days 00:00:19.143000,222.0,208.0,268.0
perez,red_bull,5,Monaco Grand Prix,2021,9.0,0 days 00:01:11.573000,0 days 00:00:18.670000,0 days 00:00:33.417000,0 days 00:00:18.932000,222.0,206.0,269.0
ocon,alpine,5,Monaco Grand Prix,2021,11.0,0 days 00:01:11.486000,0 days 00:00:18.820000,0 days 00:00:33.603000,0 days 00:00:19.063000,220.0,208.0,269.0
ricciardo,mclaren,5,Monaco Grand Prix,2021,12.0,0 days 00:01:11.598000,0 days 00:00:18.910000,0 days 00:00:33.743000,0 days 00:00:18.945000,218.0,208.0,275.0
stroll,aston_martin,5,Monaco Grand Prix,2021,13.0,0 days 00:01:11.600000,0 days 00:00:18.871000,0 days 00:00:33.785000,0 days 00:00:18.944000,218.0,203.0,272.0
russell,williams,5,Monaco Grand Prix,2021,15.0,0 days 00:01:11.830000,0 days 00:00:18.810000,0 days 00:00:33.790000,0 days 00:00:19.230000,220.0,206.0,274.0
tsunoda,alphatauri,5,Monaco Grand Prix,2021,16.0,0 days 00:01:12.096000,0 days 00:00:19.058000,0 days 00:00:33.774000,0 days 00:00:19.264000,221.0,201.0,270.0
alonso,alpine,5,Monaco Grand Prix,2021,17.0,0 days 00:01:12.205000,0 days 00:00:19.098000,0 days 00:00:33.784000,0 days 00:00:19.323000,221.0,203.0,268.0
leclerc,ferrari,6,Azerbaijan Grand Prix,2021,1.0,0 days 00:01:41.218000,0 days 00:00:35.502000,0 days 00:00:40.555000,0 days 00:00:25.161000,236.0,230.0,331.0
hamilton,mercedes,6,Azerbaijan Grand Prix,2021,2.0,0 days 00:01:41.450000,0 days 00:00:35.533000,0 days 00:00:40.683000,0 days 00:00:25.234000,236.0,246.0,333.0
max_verstappen,red_bull,6,Azerbaijan Grand Prix,2021,3.0,0 days 00:01:41.563000,0 days 00:00:35.635000,0 days 00:00:40.592000,0 days 00:00:25.336000,228.0,232.0,325.0
gasly,alphatauri,6,Azerbaijan Grand Prix,2021,4.0,0 days 00:01:41.565000,0 days 00:00:35.432000,0 days 00:00:40.598000,0 days 00:00:25.535000,240.0,244.0,326.0
sainz,ferrari,6,Azerbaijan Grand Prix,2021,5.0,0 days 00:01:41.576000,0 days 00:00:35.485000,0 days 00:00:40.672000,0 days 00:00:25.419000,238.0,231.0,325.0
norris,mclaren,6,Azerbaijan Grand Prix,2021,6.0,0 days 00:01:41.747000,0 days 00:00:35.652000,0 days 00:00:40.641000,0 days 00:00:25.454000,230.0,235.0,324.0
perez,red_bull,6,Azerbaijan Grand Prix,2021,7.0,0 days 00:01:41.917000,0 days 00:00:35.534000,0 days 00:00:40.720000,0 days 00:00:25.376000,229.0,229.0,327.0
tsunoda,alphatauri,6,Azerbaijan Grand Prix,2021,8.0,0 days 00:01:42.211000,0 days 00:00:35.627000,0 days 00:00:40.768000,0 days 00:00:25.259000,243.0,233.0,331.0
alonso,alpine,6,Azerbaijan Grand Prix,2021,9.0,0 days 00:01:42.327000,0 days 00:00:35.676000,0 days 00:00:41.076000,0 days 00:00:25.443000,222.0,239.0,330.0
bottas,mercedes,6,Azerbaijan Grand Prix,2021,10.0,0 days 00:01:42.659000,0 days 00:00:35.735000,0 days 00:00:41.094000,0 days 00:00:25.277000,230.0,243.0,325.0
ocon,alpine,6,Azerbaijan Grand Prix,2021,12.0,0 days 00:01:42.273000,0 days 00:00:35.842000,0 days 00:00:41.104000,0 days 00:00:25.327000,223.0,227.0,331.0
ricciardo,mclaren,6,Azerbaijan Grand Prix,2021,13.0,0 days 00:01:42.558000,0 days 00:00:35.646000,0 days 00:00:41.218000,0 days 00:00:25.440000,220.0,224.0,326.0
russell,williams,6,Azerbaijan Grand Prix,2021,15.0,0 days 00:01:42.758000,0 days 00:00:36.133000,0 days 00:00:41.321000,0 days 00:00:25.274000,217.0,227.0,330.0
stroll,aston_martin,6,Azerbaijan Grand Prix,2021,19.0,,,,,,,
max_verstappen,red_bull,7,French Grand Prix,2021,1.0,0 days 00:01:29.990000,0 days 00:00:22.405000,0 days 00:00:27.388000,0 days 00:00:40.197000,126.0,284.0,303.0
hamilton,mercedes,7,French Grand Prix,2021,2.0,0 days 00:01:30.248000,0 days 00:00:22.374000,0 days 00:00:27.516000,0 days 00:00:40.358000,122.0,282.0,301.0
bottas,mercedes,7,French Grand Prix,2021,3.0,0 days 00:01:30.376000,0 days 00:00:22.407000,0 days 00:00:27.527000,0 days 00:00:40.442000,124.0,282.0,301.0
perez,red_bull,7,French Grand Prix,2021,4.0,0 days 00:01:30.445000,0 days 00:00:22.420000,0 days 00:00:27.597000,0 days 00:00:40.428000,121.0,284.0,303.0
sainz,ferrari,7,French Grand Prix,2021,5.0,0 days 00:01:30.840000,0 days 00:00:22.427000,0 days 00:00:27.815000,0 days 00:00:40.598000,126.0,280.0,298.0
