race_id,race_name,season,rain_fp1,avg_airtemp_fp1,avg_tracktemp_fp1,high_windspeed_fp1,avg_windspeed_fp1,rain_fp2,avg_airtemp_fp2,avg_tracktemp_fp2,high_windspeed_fp2,avg_windspeed_fp2,rain_fp3,avg_airtemp_fp3,avg_tracktemp_fp3,high_windspeed_fp3,avg_windspeed_fp3,rain_quali,avg_airtemp_quali,avg_tracktemp_quali,high_windspeed_quali,avg_windspeed_quali,rain_race,avg_airtemp_race,avg_tracktemp_race,high_windspeed_race,avg_windspeed_race,rain_sprint,avg_airtemp_sprint,avg_tracktemp_sprint,high_windspeed_sprint,avg_windspeed_sprint
11,Hungarian Grand Prix,2021,0,30.775,55.125,0.7,0.375,0,32.375,61.5875,0.5,0.325,0,27.1625,54.5625,0.8,0.3875,0,29.28888888888889,59.088888888888896,1,0.6666666666666666,1,27.254999999999995,37.96499999999999,1,0.5799999999999998,0,0,0,0,0
12,Belgian Grand Prix,2021,1,13.425,18.375,0.8,0.6125,0,14.8125,19.45,0.8,0.525,1,13.9,16.2375,0.5,0.3875,1,14.335714285714285,17.557142857142857,1,0.4785714285714286,1,13.003448275862068,15.255172413793105,0.9,0.5137931034482759,0,0,0,0,0
13,Dutch Grand Prix,2021,0,18.55,24.633333333333336,1,0.6333333333333334,0,20.700000000000003,35.03333333333334,0.9,0.5888888888888889,0,17.125,28.8875,1.1,0.7625,0,19.060000000000002,35.290000000000006,0.8,0.62,0,21.493750000000002,36.08125,0.9,0.475,0,0,0,0,0
14,Italian Grand Prix,2021,0,27.174999999999997,38.975,0.6,0.3875,0,25.375,37.175,0.6,0.36250000000000004,0,0,0,0,0,0,25.475,32.0125,0.3,0.1875,0,28.84,43.78666666666666,0.6,0.38,0,28.1625,42.6875,0.5,0.3125
15,Russian Grand Prix,2021,1,19.225,30.025,0.8,0.5625,0,19.174999999999997,31.9,1,0.7125,1,13.35,15.725,0.5,0.325,1,14.05,16.525,0.8,0.45,1,19.15625,21.768749999999997,0.7,0.275,0,0,0,0,0
16,Turkish Grand Prix,2021,0,19.54444444444444,29.011111111111113,1.5,1.1444444444444446,0,19.633333333333333,28.222222222222218,1.6,1.2999999999999998,1,17.633333333333333,23.188888888888886,0.4,0.23333333333333334,1,18.4,22.462500000000002,0.8,0.43749999999999994,0,15.8125,18.18125,0.7,0.48749999999999993,0,0,0,0,0
17,United States Grand Prix,2021,0,27.012500000000003,31.612499999999997,0.6,0.35,0,29.15,36.5875,0.6,0.45,0,28.675,36.925,1.6,0.9750000000000001,0,29.625,36.787499999999994,1.5,1.1,0,28.14117647058824,37.44117647058823,1.4,0.8411764705882352,0,0,0,0,0
18,Mexico City Grand Prix,2021,0,18.75,39.900000000000006,0.4,0.3,0,21.775,41.6875,0.8,0.4375,0,17.950000000000003,36.125,0.6,0.325,0,21.59090909090909,45.22727272727273,0.7,0.36363636363636365,0,21.188235294117646,47.45294117647058,0.7,0.3764705882352941,0,0,0,0,0
19,São Paulo Grand Prix,2021,0,17.849999999999998,34.1875,0.8,0.4875,0,19.011111111111113,50.84444444444445,0.6,0.41111111111111115,0,0,0,0,0,0,15.7375,25.075,0.7,0.55,0,23.15625,51.74375,0.7,0.3875,0,17.02857142857143,36.1,0.6,0.5428571428571429
20,Qatar Grand Prix,2021,0,28.475,41.2375,0.7,0.3,0,26.425,30.575,0.7,0.3,0,27.5125,37.1375,0.6,0.4125,0,25.9625,29.3625,0.3,0.1875,0,26.4375,30.66875,0.7,0.39375,0,0,0,0,0
